date,price,return,energy,state,regime,raw_signal,action,invested,position,cash,total_value,stop_triggered,strategy_return
2008-03-19,93.5924072265625,-0.0247698491174362,5.9374547454575506e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-20,95.32601165771484,0.0185229174302115,1.97612241079983e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-24,97.2313232421875,0.0199873208932104,9.856580564380218e-06,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-25,97.32520294189452,0.0009655293847352,2.0348964636815636e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-26,96.13433837890624,-0.0122359319784748,9.011015446933897e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-27,95.8311996459961,-0.0031532825629418,5.3317427412573085e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-28,94.91462707519533,-0.0095644484696699,2.1711194904027958e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-31,95.2466049194336,0.0034976468271352,6.0852321422438325e-06,0,0,BUY,BUY,True,1104,49.627983093232615,105201.87981414792,False,0.0
2008-04-01,98.59542083740234,0.0351594255858402,6.977094833659766e-05,1,1,SELL,SELL,False,0,108898.97258758542,108898.97258758542,False,0.035142839462268816
2008-04-02,98.66036987304688,0.0006587429222666,7.334772727234924e-05,1,1,SELL,HOLD,False,0,108898.97258758542,108898.97258758542,False,0.0
2008-04-03,98.90577697753906,0.0024873929097162,5.319601415221608e-05,1,1,SELL,HOLD,False,0,108898.97258758542,108898.97258758542,False,0.0
2008-04-04,98.79751586914062,-0.0010945883213983,3.3426656328346904e-05,1,1,SELL,HOLD,False,0,108898.97258758542,108898.97258758542,False,0.0
2008-04-07,98.84803771972656,0.0005113676203443,2.2532477023208207e-05,1,1,SELL,HOLD,False,0,108898.97258758542,108898.97258758542,False,0.0
2008-04-08,98.74703216552734,-0.0010218265989823,2.2199461812027742e-07,0,0,BUY,BUY,True,1102,79.7431411742873,108898.97258758542,False,0.0
2008-04-09,98.03247833251952,-0.007236205659427,1.724967303079516e-06,0,0,BUY,HOLD,True,1102,79.7431411742873,108111.5342636108,False,-0.007230906823673666
2008-04-10,98.1696319580078,0.0013990631250091,1.7655824884199586e-06,0,0,BUY,HOLD,True,1102,79.7431411742873,108262.67755889888,False,0.0013980311750969587
2008-04-11,96.26421356201172,-0.0194094482987482,6.070907349401569e-06,0,1,SELL,SELL,False,0,106162.9064865112,106162.9064865112,True,-0.019395151863349502
2008-04-14,95.93942260742188,-0.0033739532332087,7.586688917486074e-06,0,0,BUY,BUY,True,1106,53.905082702607615,106162.9064865112,False,0.0
2008-04-15,96.16321563720705,0.0023326493291595,1.012924722102446e-05,0,0,BUY,HOLD,True,1106,53.905082702607615,106410.4215774536,False,0.0023314649074142046
2008-04-16,98.7686767578125,0.027094155528607,7.468888904918406e-05,1,1,SELL,SELL,False,0,109292.06157684323,109292.06157684323,False,0.027080430249890153
2008-04-17,98.91297149658205,0.0014609362351116,6.608649502267768e-05,1,1,SELL,HOLD,False,0,109292.06157684323,109292.06157684323,False,0.0
